fuel_code,fuel_name,lhv_mj_kg,cf_ttw_tco2_per_tfuel,cf_wtw_tco2e_per_tfuel,sox_emission_g_per_kg,nox_emission_g_per_kg,pm25_emission_g_per_kg,average_market_price_usd_per_mt,base_sfoc_g_kwh,eu_ets_carbon_tax_eligible,imo_cii_reduction_factor
VLSFO,Very Low Sulphur Fuel Oil (0.5% S),40.4,3.114,3.206,10.0,78.5,1.2,620.0,172.0,True,1.0
HFO,Heavy Fuel Oil (with Scrubber),40.2,3.114,3.28,2.5,82.0,1.45,540.0,174.0,True,1.0
LNG,Liquefied Natural Gas,48.0,2.75,2.85,0.02,15.0,0.05,710.0,145.0,True,0.883
METHANOL_BIO,Green Bio-Methanol (CH3OH),19.7,1.375,0.15,0.0,18.0,0.02,890.0,350.0,False,0.048
AMMONIA_GREEN,Green Ammonia (NH3),18.6,0.0,0.05,0.0,22.0,0.0,980.0,375.0,False,0.016
HYDROGEN_GREEN,Green Liquid Hydrogen (LH2),120.0,0.0,0.0,0.0,0.0,0.0,3500.0,60.0,False,0.0
SHORE_POWER,High Voltage Shore Connection (Cold Ironing),3.6,0.0,0.38,0.0,0.0,0.0,160.0,0.0,False,0.0
